20,1200,1,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0023","pop1","498","499","501","504","502","501","499","498","498","497","500","499","500","500","503","499","504","506","500","495","499","500","498","502","504","503","501","501","502","500","499","499","500","500","499","500","502","498","500","500"
"0024","pop1","501","500","501","499","502","502","500","499","500","499","500","500","501","501","503","502","504","502","500","503","503","502","497","502","505","503","501","501","500","501","499","500","499","502","499","500","504","504","499","497"
"0025","pop1","498","499","501","499","501","503","499","502","499","501","500","499","497","497","502","498","504","506","500","501","499","499","497","499","505","499","501","501","502","502","500","500","500","499","499","499","497","497","500","499"
"0026","pop1","499","500","499","502","502","502","499","502","500","499","500","500","500","503","502","498","505","506","498","500","499","499","496","499","505","503","501","503","503","501","500","498","500","502","499","500","502","498","501","501"
"0027","pop1","498","498","500","501","502","501","499","499","498","498","499","498","500","501","503","502","504","505","498","500","500","501","499","500","505","504","501","502","502","502","499","498","503","501","500","500","497","498","500","497"
"0028","pop1","499","501","499","504","502","500","499","499","498","497","500","501","499","499","502","502","505","502","500","503","499","499","499","501","506","504","501","502","502","500","499","500","501","504","499","500","497","504","500","499"
"0029","pop1","499","499","500","503","502","502","499","499","500","498","500","499","500","500","501","502","505","501","500","500","499","499","497","500","505","503","501","502","502","499","500","498","500","499","499","498","502","497","501","497"
"0030","pop1","498","502","501","501","502","503","499","498","498","498","499","499","500","501","503","503","502","501","495","502","499","500","499","502","505","503","502","502","502","501","500","498","500","500","499","498","502","497","500","498"
"0031","pop1","499","497","500","501","502","502","499","499","500","499","500","500","500","500","501","502","504","505","498","500","499","500","496","497","505","505","502","502","502","502","500","498","503","501","499","500","497","504","499","497"
"0032","pop1","498","501","501","499","502","503","499","499","499","498","499","499","500","497","503","502","505","502","498","497","503","500","498","502","505","505","501","503","502","500","500","498","503","503","499","500","502","497","501","501"
"0033","pop1","498","499","500","500","502","502","499","499","499","498","499","498","500","501","502","502","505","502","498","500","499","501","499","499","505","503","502","502","502","502","500","498","499","502","500","500","502","497","499","499"
"0034","pop1","499","501","500","499","502","501","500","499","500","497","500","499","500","500","503","501","502","501","500","500","499","499","498","498","504","503","501","502","502","500","499","498","499","504","500","500","502","498","500","501"
"0035","pop1","499","501","499","504","503","503","499","499","499","498","500","499","500","499","503","504","502","501","498","503","499","503","497","502","505","503","501","501","503","501","500","498","503","499","501","500","502","497","501","496"
"0036","pop1","499","501","499","502","502","500","499","499","498","497","500","500","501","499","503","502","502","502","500","503","499","501","502","502","505","503","501","502","502","500","499","500","500","499","500","497","502","498","501","498"
"0037","pop1","499","499","500","500","502","502","499","499","500","499","500","499","500","500","501","502","505","501","498","500","499","500","498","502","505","505","501","501","502","500","499","498","499","499","499","500","497","498","499","501"
"0038","pop1","498","499","503","499","501","503","499","499","498","497","499","498","500","500","503","502","506","502","495","502","499","498","502","502","505","503","501","503","500","501","498","498","500","499","499","498","502","503","499","501"
"0039","pop1","498","499","501","503","502","501","500","499","499","499","499","499","500","497","501","499","504","504","500","500","499","499","496","499","505","505","502","500","500","500","499","498","503","501","499","499","502","503","501","497"
"0040","pop1","498","501","500","501","502","501","499","499","500","500","500","498","500","499","502","502","504","502","500","501","500","501","499","500","506","505","502","502","503","500","499","501","500","499","501","500","502","503","501","501"
"0041","pop1","499","499","500","500","502","502","500","502","499","498","500","499","500","501","502","502","505","505","500","495","499","503","499","503","506","504","502","503","502","501","500","498","503","499","500","500","502","496","499","501"
"0042","pop1","499","500","500","504","502","501","500","499","499","498","500","499","501","502","503","501","504","505","500","502","500","501","499","499","505","504","501","500","502","501","498","498","500","504","499","500","502","502","500","501"
"0043","pop1","501","501","500","504","502","502","499","499","500","497","500","499","500","499","503","501","504","504","501","501","499","500","499","499","505","504","501","502","500","501","500","500","499","502","501","499","502","502","500","501"
"0044","pop1","498","499","500","499","502","503","500","499","500","499","500","498","500","499","503","502","501","503","498","500","499","498","497","497","504","503","501","503","502","500","499","498","503","501","501","500","502","498","499","501"
"0045","pop1","498","500","501","499","501","501","500","499","498","498","500","500","500","500","503","502","504","503","495","501","499","497","502","500","505","504","501","502","502","502","499","499","499","501","500","498","502","497","500","500"
"0046","pop1","498","498","500","501","502","501","499","499","498","497","500","500","500","500","503","502","504","506","495","495","499","499","499","502","506","505","501","501","502","500","499","500","499","502","500","500","497","504","499","501"
"0047","pop1","498","498","503","499","501","501","500","498","500","498","500","499","500","499","501","502","501","501","500","500","499","501","498","502","505","505","501","503","502","502","499","500","500","501","500","500","497","497","500","501"
"0048","pop1","498","501","500","501","501","501","500","499","499","498","500","498","501","499","503","501","504","504","498","500","499","499","499","502","505","499","501","503","502","501","497","500","499","499","500","500","498","504","499","497"
"0049","pop1","498","501","501","501","502","502","499","499","499","499","500","500","500","499","503","499","505","501","500","502","499","499","497","502","504","503","501","501","502","502","499","496","503","504","500","500","502","496","500","499"
"0050","pop1","498","501","501","501","502","502","499","502","500","498","500","499","500","499","501","501","505","502","500","495","499","498","499","500","505","505","501","502","502","502","499","499","499","501","500","498","503","503","501","497"
"0051","pop1","498","499","499","499","501","503","500","499","499","497","500","500","500","501","503","502","506","502","500","500","499","499","499","498","504","500","501","502","500","500","498","498","502","501","499","500","497","503","499","501"
"0052","pop1","498","499","501","503","502","501","498","498","500","498","500","500","499","502","503","503","505","502","500","495","499","503","498","502","505","505","501","502","502","502","500","501","500","502","500","500","502","498","501","501"
"0053","pop1","499","501","500","501","502","502","499","499","500","499","500","498","500","500","503","501","505","506","498","501","499","500","502","500","504","499","501","501","500","501","500","498","500","503","499","499","498","504","501","497"
"0054","pop1","501","502","500","499","502","502","500","499","499","498","499","498","502","497","503","502","505","503","498","500","500","500","498","500","505","505","501","501","502","502","497","498","499","501","499","500","502","498","501","501"
"0055","pop1","501","501","500","499","502","503","499","499","499","497","500","499","500","502","498","499","505","501","500","501","503","503","499","498","506","505","501","502","500","500","499","498","499","504","500","500","502","504","500","501"
"0056","pop1","499","499","500","500","502","503","499","499","499","498","500","499","500","498","503","502","502","503","498","497","499","503","498","501","505","503","501","502","502","502","500","496","503","502","499","500","502","504","501","501"
"0057","pop1","498","499","499","499","501","501","500","499","500","499","500","499","500","500","501","499","501","503","498","501","499","503","497","498","506","505","501","501","503","500","500","498","502","501","501","500","502","502","499","501"
"0058","pop1","499","501","499","504","502","501","500","499","500","497","500","499","499","497","503","501","506","501","500","500","500","497","499","499","503","499","501","502","502","502","500","498","499","501","500","497","498","504","500","497"
"0059","pop1","498","500","499","499","502","501","500","498","500","498","500","499","498","502","501","501","505","502","498","500","499","499","498","498","503","500","501","501","502","500","498","498","503","499","499","499","502","498","500","500"
"0060","pop1","498","498","501","502","502","502","500","499","499","497","500","500","500","500","501","498","505","502","500","501","499","503","497","499","505","504","501","501","502","500","498","498","499","499","499","499","498","504","500","500"
"0061","pop1","498","498","499","504","501","501","499","499","500","499","500","499","500","498","501","502","506","502","500","500","499","499","496","502","505","503","501","502","502","503","499","498","503","502","500","497","497","497","501","497"
"0062","pop1","498","501","500","502","502","503","499","499","499","498","500","499","500","500","501","502","505","501","498","501","499","503","497","499","499","499","502","500","503","500","499","499","499","501","500","500","502","504","499","497"
"0063","pop1","498","498","501","499","502","501","500","499","500","500","500","499","500","500","501","499","502","501","500","501","499","499","499","502","505","504","501","502","500","501","497","500","502","501","499","500","502","502","500","499"
"0064","pop1","499","501","500","501","502","503","500","500","499","498","500","499","500","500","501","502","502","502","498","500","499","503","498","498","505","505","501","501","502","501","498","498","500","501","500","500","498","504","500","497"
"0065","pop1","498","501","501","501","502","503","500","499","498","498","500","499","499","497","502","498","504","502","500","501","499","498","498","502","506","503","501","501","501","499","500","500","499","499","500","500","497","498","500","498"
"0066","pop1","499","500","500","500","502","501","499","502","498","497","500","500","500","500","503","502","505","502","497","501","499","500","499","499","505","503","501","503","502","502","498","498","502","502","500","500","502","497","499","501"
"0067","pop1","499","501","503","502","501","501","500","499","499","497","500","500","501","501","503","502","504","505","500","497","499","499","502","500","505","502","501","501","500","501","500","500","503","501","500","497","497","497","499","501"
"0068","pop1","498","499","504","504","501","501","499","499","500","498","499","499","500","497","503","501","505","502","500","502","500","500","499","498","505","505","502","503","502","502","499","500","500","502","500","497","497","497","499","501"
"0069","pop1","498","499","501","499","502","502","499","502","499","498","499","499","500","503","501","499","501","503","500","501","499","501","497","500","505","504","501","502","502","500","499","497","503","503","500","498","497","498","500","501"
"0070","pop1","499","501","500","499","502","502","499","499","499","499","500","499","500","501","503","501","506","501","500","501","499","499","498","502","505","503","501","501","502","502","498","498","499","499","500","497","502","502","499","501"
"0071","pop1","498","499","500","499","502","501","499","499","500","500","500","500","500","501","502","502","504","502","495","501","500","502","497","499","505","504","501","502","501","501","499","498","500","503","500","500","502","503","501","501"
"0072","pop1","498","501","500","500","502","502","499","499","500","497","500","499","500","499","501","501","502","502","500","500","499","500","497","498","505","505","502","500","502","501","500","498","500","503","501","500","502","503","501","501"
"0073","pop1","498","498","500","504","502","503","500","499","499","498","500","500","498","497","503","502","502","502","497","495","499","499","498","500","506","505","502","503","503","500","500","501","499","502","499","498","502","498","500","500"
"0074","pop1","501","501","500","500","502","501","500","499","499","498","500","498","500","500","502","502","505","505","498","497","503","503","499","502","505","503","501","501","502","500","500","500","503","499","499","497","497","497","499","501"
"0075","pop1","499","500","501","499","502","501","500","499","500","499","500","499","500","499","502","502","505","501","495","501","499","500","496","502","506","506","501","501","502","502","499","497","499","499","499","500","497","504","501","501"
"0076","pop1","498","501","500","501","502","503","499","499","499","498","500","500","500","501","503","501","505","502","498","500","499","499","496","500","505","500","502","502","502","500","499","498","503","503","499","499","502","498","500","498"
"0077","pop1","498","499","500","503","502","502","499","502","498","497","500","500","500","502","502","499","502","501","498","495","499","501","499","502","505","504","501","501","502","501","500","498","503","501","499","499","497","503","499","499"
"0078","pop1","498","499","501","499","502","502","499","498","500","499","500","500","500","501","501","502","505","502","498","500","499","499","497","502","505","505","502","502","502","503","497","500","503","499","499","500","504","503","499","501"
"0079","pop1","501","501","501","499","502","500","499","499","500","498","499","501","500","502","502","502","504","502","500","495","499","500","499","502","505","499","501","503","502","500","500","498","499","501","499","499","498","506","500","501"
"0080","pop1","501","501","500","500","502","503","499","499","498","498","500","498","501","501","503","499","506","502","500","501","499","499","499","502","505","505","501","501","502","502","500","500","499","502","501","500","504","503","500","499"
"0081","pop1","498","500","501","501","502","503","499","499","498","497","500","499","500","500","501","499","502","501","500","501","499","499","497","502","505","505","501","503","502","501","499","498","499","499","500","497","502","504","500","500"
"0082","pop1","498","499","500","504","502","501","499","502","499","498","500","499","500","502","502","499","504","504","495","502","500","498","498","502","505","503","502","500","502","501","498","501","499","499","501","501","502","504","499","501"
"0083","pop1","499","499","500","499","502","500","500","499","500","497","500","499","500","497","503","499","505","506","500","495","499","498","499","498","504","499","501","502","500","500","497","498","499","502","500","500","502","502","501","497"
"0084","pop1","498","499","502","502","502","503","499","502","499","498","500","499","500","500","501","498","504","505","500","502","499","501","499","501","505","503","501","502","503","500","499","498","500","499","500","500","502","496","501","497"
"0085","pop1","498","501","500","500","502","501","499","502","499","498","500","499","500","501","501","499","505","502","498","500","499","500","497","498","505","505","501","502","502","500","499","498","502","501","499","500","497","504","500","499"
"0086","pop1","498","499","500","499","502","502","500","502","500","499","500","500","498","499","501","502","504","504","498","495","499","499","499","498","505","504","501","503","502","502","500","498","500","502","500","500","502","497","500","501"
"0087","pop1","498","501","501","503","502","501","499","499","499","497","500","499","500","501","501","502","505","502","500","497","499","500","502","500","505","505","501","502","502","500","500","498","499","501","500","500","497","496","501","498"
"0088","pop1","498","501","500","500","502","500","499","499","500","498","500","500","500","499","501","502","502","502","500","495","499","499","497","502","505","504","501","501","502","502","499","499","503","499","501","499","498","503","499","501"
"0089","pop1","498","499","500","502","502","501","500","502","498","498","500","500","500","501","503","502","505","506","498","500","499","500","498","500","505","505","501","503","503","500","500","500","500","501","501","497","498","504","500","501"
"0090","pop1","498","501","499","504","502","501","500","499","499","497","499","499","500","497","503","501","504","500","498","500","503","500","499","498","505","505","501","502","500","501","500","500","500","502","499","500","497","497","499","501"
"0091","pop1","498","499","500","502","502","503","500","499","499","498","499","499","500","500","501","498","502","501","495","501","503","500","502","502","505","505","501","501","500","500","499","500","500","502","500","498","502","497","500","497"
"0092","pop1","498","501","500","500","502","501","499","499","500","500","500","499","500","500","502","502","506","502","500","500","499","499","499","502","504","503","502","502","503","501","500","498","503","499","499","500","497","503","499","497"
"0093","pop1","499","501","500","503","502","500","500","502","499","499","500","499","500","501","503","502","502","501","500","500","501","504","497","498","505","505","501","501","502","500","497","500","499","501","501","500","502","497","499","497"
"0094","pop1","498","498","503","502","502","502","499","499","499","497","500","499","500","498","501","502","505","502","500","495","499","499","499","498","505","505","501","502","502","501","499","500","501","504","499","500","504","503","500","497"
"0095","pop1","499","499","501","504","502","500","500","500","500","498","500","500","497","497","501","499","504","501","498","501","499","500","499","498","505","503","501","501","500","501","500","498","500","503","499","500","502","502","499","497"
"0096","pop1","499","499","500","503","502","502","500","499","499","497","500","499","501","502","501","502","505","505","500","501","499","503","499","499","506","505","501","503","502","500","499","500","500","503","499","500","502","497","500","501"
"0097","pop1","501","501","500","499","502","500","499","499","499","498","500","500","500","501","502","504","505","502","498","495","499","502","497","499","505","505","501","503","500","501","499","500","500","503","500","500","502","502","497","498"
"0098","pop1","498","501","500","499","501","503","500","499","500","499","500","500","500","500","503","501","505","505","500","500","503","500","502","502","505","505","502","500","502","503","499","500","501","501","499","500","504","503","499","501"
"0099","pop1","498","499","500","501","502","502","499","498","499","498","500","499","500","500","503","503","506","501","498","501","500","498","496","499","505","505","502","500","502","502","499","498","500","503","500","497","502","504","501","497"
"0100","pop1","498","501","501","499","502","501","500","499","499","498","500","499","500","500","503","501","505","502","502","501","499","501","499","499","505","504","501","502","502","501","500","498","503","504","499","500","502","503","499","497"
"0101","pop1","498","499","500","499","502","502","499","499","500","497","500","499","500","500","501","501","505","502","500","500","499","500","496","498","505","504","501","501","502","503","498","498","503","501","499","500","502","497","501","501"
"0102","pop1","498","499","500","501","502","501","499","498","499","498","500","499","500","502","498","499","505","501","500","501","499","499","502","500","505","505","502","502","500","500","499","498","503","499","500","500","502","503","499","498"
"0103","pop1","498","499","500","499","502","503","500","502","500","498","499","499","500","501","501","501","506","502","498","495","503","498","501","500","505","503","502","503","502","500","499","499","500","501","499","500","503","506","500","501"
"0104","pop1","499","501","500","503","502","503","499","499","500","499","499","499","500","500","503","501","505","505","502","501","499","500","498","502","505","504","501","501","502","501","500","500","500","500","500","500","497","503","500","497"
"0105","pop1","499","499","499","502","502","503","499","499","498","497","500","499","500","500","501","502","504","504","495","502","499","503","498","500","505","499","502","504","502","503","498","498","500","499","499","500","497","504","500","500"
"0106","pop1","501","501","500","499","502","502","499","499","500","498","500","499","500","500","501","502","506","502","500","495","499","499","502","502","505","505","502","500","502","501","499","500","500","501","499","500","502","504","499","497"
"0107","pop1","498","501","499","499","502","502","499","502","500","497","500","499","499","499","501","502","504","502","500","501","499","504","496","498","505","505","501","501","502","500","499","500","499","501","499","499","497","504","501","501"
"0108","pop1","498","501","500","500","502","502","499","499","499","499","499","499","500","499","503","501","504","505","500","499","499","499","499","502","504","503","501","502","502","500","500","498","503","504","501","500","497","504","499","501"
"0109","pop1","498","503","501","503","502","500","500","499","499","499","498","498","499","499","501","502","504","501","497","497","500","502","501","501","505","504","502","502","500","501","500","498","500","502","501","499","498","504","500","497"
"0110","pop1","501","500","500","499","502","502","499","499","498","498","500","500","500","500","501","502","505","503","497","501","499","500","502","500","505","505","501","502","502","502","500","498","500","503","501","500","498","504","497","497"
"0111","pop1","498","501","499","499","502","501","500","499","499","497","500","499","500","500","503","503","506","502","500","500","499","500","499","502","505","505","501","500","502","500","498","501","500","503","499","500","497","498","499","497"
"0112","pop1","498","501","502","504","502","501","499","499","500","499","500","499","500","500","503","502","505","505","500","502","500","500","497","502","505","505","501","502","502","501","500","498","500","502","501","499","502","504","501","501"
"0113","pop1","498","499","500","499","502","502","499","499","499","497","500","500","498","499","502","502","502","501","500","500","503","500","499","502","505","504","501","501","502","502","499","499","499","499","499","500","498","504","501","501"
"0114","pop1","498","498","503","499","501","501","499","499","498","497","500","499","500","500","503","503","506","502","498","495","503","500","499","498","506","504","501","503","502","502","499","500","503","502","499","500","502","502","501","497"
"0115","pop1","498","499","499","499","502","501","499","499","500","499","500","500","501","502","503","501","502","502","500","500","499","500","497","502","504","504","501","502","503","500","499","500","500","499","501","499","502","502","499","501"
"0116","pop1","499","501","500","500","502","501","499","499","500","500","500","500","500","499","503","501","502","503","502","501","499","500","499","499","504","499","501","503","502","503","500","498","503","499","501","499","504","501","499","499"
"0117","pop1","499","501","500","499","502","501","500","500","499","497","500","500","499","497","501","502","504","505","500","502","503","503","499","502","505","505","501","501","502","502","500","498","502","504","499","499","497","501","499","497"
"0118","pop1","498","500","500","499","502","501","499","499","499","499","500","499","500","500","503","502","502","502","500","500","499","499","497","497","505","504","501","501","503","501","497","500","500","499","501","499","497","498","499","501"
"0119","pop1","499","499","501","502","502","502","499","499","500","498","500","499","500","501","503","501","502","500","500","501","499","499","499","502","505","499","501","503","502","502","500","498","503","499","497","498","497","497","499","499"
"0120","pop1","499","501","503","503","502","503","499","499","499","498","499","499","500","498","503","502","505","506","497","495","499","500","502","502","505","503","501","502","502","500","499","500","500","503","499","500","503","506","500","498"
"0121","pop1","498","499","499","504","502","502","499","502","499","499","500","500","500","500","501","502","504","505","500","500","503","498","497","500","505","499","501","502","502","502","500","500","503","502","500","498","502","504","500","497"
"0122","pop1","499","499","500","500","502","501","499","498","499","499","500","499","500","500","503","501","504","502","500","495","499","498","496","502","506","499","501","500","502","501","498","498","501","501","499","500","497","506","501","501"
"0123","pop1","498","499","500","503","502","502","499","499","499","497","500","500","498","502","501","502","502","502","498","495","500","501","497","499","506","505","501","503","502","500","500","498","499","501","499","497","502","498","499","501"
"0124","pop1","498","499","503","504","502","501","499","499","498","498","500","500","500","502","503","501","504","505","500","497","499","500","497","498","506","505","503","503","503","500","499","500","499","502","500","498","502","498","500","501"
"0125","pop1","499","501","501","501","502","502","499","499","497","497","500","498","500","501","502","502","506","501","500","501","500","501","499","502","505","505","501","501","500","501","500","500","500","500","499","498","497","498","499","501"
"0126","pop1","498","499","501","499","502","502","499","499","499","498","500","500","500","500","503","502","505","501","500","500","499","499","498","502","505","503","501","502","503","500","498","498","499","501","499","500","502","497","501","501"
"0127","pop1","498","499","500","499","502","502","500","499","500","497","500","499","499","499","503","502","504","504","500","495","499","499","499","501","505","505","502","503","502","500","499","498","499","499","500","500","502","502","500","501"
"0128","pop1","499","501","500","501","502","502","500","499","500","497","500","498","500","498","502","499","504","505","500","500","499","499","497","502","506","505","501","501","502","500","499","499","503","501","501","499","502","497","500","501"
"0129","pop1","498","498","503","499","502","501","499","499","500","498","500","499","500","500","501","501","505","506","500","495","499","500","499","498","505","503","501","501","502","501","498","498","502","501","499","500","502","497","501","501"
"0130","pop1","499","499","499","499","502","502","499","498","498","498","500","499","500","499","503","503","504","502","500","500","500","500","499","502","503","503","501","500","502","502","500","500","499","499","500","498","504","506","500","501"
"0131","pop1","501","501","500","499","503","503","500","500","497","497","499","501","500","501","503","501","504","505","500","501","499","500","498","500","505","505","501","502","502","500","500","498","499","502","499","500","502","498","501","501"
"0132","pop1","499","499","500","504","502","502","499","499","500","500","500","499","500","499","502","498","504","500","500","501","503","500","496","499","505","505","501","502","503","500","499","500","503","503","499","500","497","504","497","497"
"0133","pop1","498","501","501","503","501","501","499","499","498","498","499","499","500","499","501","501","501","501","502","499","499","503","497","500","505","499","501","502","502","500","500","498","499","502","501","500","497","503","499","497"
"0134","pop1","499","501","501","499","502","503","500","499","498","498","500","500","498","499","501","502","505","502","500","500","500","501","498","498","505","505","501","502","502","501","499","500","499","499","499","500","502","504","499","501"
"0135","pop1","498","500","501","499","502","501","500","499","499","499","500","499","502","502","503","501","505","506","500","500","499","499","497","499","504","503","501","501","503","500","499","498","500","499","501","500","497","497","501","497"
"0136","pop1","498","501","499","504","501","503","499","499","499","499","500","499","501","499","502","502","505","505","500","501","499","499","498","498","505","499","502","502","502","502","499","498","500","503","498","498","498","503","500","498"
"0137","pop1","501","501","500","504","501","501","500","499","499","498","500","499","500","501","503","501","505","502","500","500","500","501","496","497","505","505","503","503","502","501","499","500","499","501","500","500","502","498","501","497"
"0138","pop1","498","499","500","501","502","502","499","499","498","498","500","499","500","498","502","502","504","501","498","501","499","497","496","502","506","505","501","503","502","502","499","498","499","501","501","499","498","498","500","501"
"0139","pop1","498","499","503","499","501","501","499","499","500","499","498","498","500","501","501","502","506","502","500","495","499","500","497","498","505","505","501","501","502","500","498","498","499","501","500","498","497","504","500","500"
"0140","pop1","498","500","500","501","502","502","499","499","500","499","500","499","500","499","501","502","501","503","501","501","503","500","499","498","505","505","501","501","500","500","498","498","503","504","501","500","502","498","499","497"
"0141","pop1","499","501","500","500","502","502","499","499","498","497","500","500","500","499","501","502","502","502","500","501","499","499","498","502","504","504","501","501","502","500","499","498","499","501","500","500","497","503","499","501"
"0142","pop1","498","500","502","502","501","500","500","499","499","499","499","498","500","499","502","499","504","502","500","500","500","502","498","502","506","505","501","500","502","502","500","498","499","501","499","499","497","498","501","498"
"0143","pop1","501","500","500","500","502","502","499","499","498","498","500","500","500","500","502","502","502","502","498","500","499","500","500","500","505","500","501","501","502","500","499","501","503","499","499","499","502","498","500","501"
"0144","pop1","501","502","500","503","502","501","499","499","498","498","500","499","500","499","501","502","506","502","500","497","499","503","496","502","505","503","501","502","503","503","498","501","503","499","501","500","502","498","499","497"
"0145","pop1","499","501","500","504","502","502","499","498","499","499","500","499","500","500","501","502","504","502","500","501","499","499","499","499","505","504","501","502","502","503","500","500","499","499","499","500","497","504","500","497"
"0146","pop1","498","498","500","501","502","501","500","500","499","497","500","499","500","500","503","502","506","506","501","501","499","499","497","499","505","505","501","501","502","502","499","498","503","499","499","497","498","504","499","501"
"0147","pop1","498","499","500","500","502","502","500","499","500","497","500","498","500","501","501","502","502","502","500","500","500","500","499","501","504","503","501","501","502","500","498","498","499","499","499","500","502","502","500","500"
"0148","pop1","501","501","501","503","502","502","499","499","499","498","500","499","500","497","503","501","502","501","500","501","499","497","497","502","505","505","501","504","502","502","498","498","499","499","499","500","502","504","500","498"
"0149","pop1","499","499","500","499","502","503","499","499","500","498","500","500","500","499","502","499","506","500","500","497","499","500","497","497","505","504","501","502","502","502","500","500","500","500","501","500","497","497","500","501"
"0150","pop1","498","499","501","499","502","502","499","499","500","500","500","499","500","500","501","499","505","501","500","495","500","500","498","502","505","504","501","503","502","502","499","500","501","504","501","500","502","503","500","499"
"0151","pop1","501","501","500","500","502","503","499","499","500","498","499","499","500","498","503","503","505","501","500","500","499","498","496","499","505","504","501","502","503","503","499","498","503","499","499","500","502","503","499","497"
"0152","pop1","498","501","500","503","502","502","500","499","498","497","500","500","500","499","501","502","506","502","498","501","499","503","497","500","506","505","501","502","502","501","498","498","500","503","499","497","497","506","500","497"
"0153","pop1","499","499","500","502","502","502","499","499","500","499","499","501","500","500","503","502","505","501","500","501","501","498","499","498","505","505","501","501","502","502","500","500","499","501","499","497","497","504","500","500"
